[dpo] loading model...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights: 100%|██████████| 310/310 [00:00<00:00, 12986.24it/s]
trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
[dpo] 840 pairs
[dpo] tokenizing pairs...
[dpo] max seq len: 1200
[dpo] ep1 step 101/840 loss=0.0050 margin=52.960
[dpo] ep1 step 102/840 loss=0.0040 margin=55.148
[dpo] ep1 step 103/840 loss=0.0000 margin=123.877
[dpo] ep1 step 104/840 loss=0.0195 margin=39.301
[dpo] ep1 step 105/840 loss=0.0067 margin=49.997
[dpo] ep1 step 106/840 loss=0.0009 margin=70.395
[dpo] ep1 step 107/840 loss=0.0010 margin=68.829
[dpo] ep1 step 108/840 loss=0.0008 margin=71.844
[dpo] ep1 step 109/840 loss=0.0018 margin=63.323
[dpo] ep1 step 110/840 loss=0.0005 margin=75.655
[dpo] ep1 step 111/840 loss=0.0004 margin=79.325
[dpo] ep1 step 112/840 loss=0.0000 margin=103.268
[dpo] ep1 step 113/840 loss=0.0132 margin=43.184
[dpo] ep1 step 114/840 loss=0.1155 margin=21.002
[dpo] ep1 step 115/840 loss=0.0146 margin=42.184
[dpo] ep1 step 116/840 loss=0.3428 margin=8.944
[dpo] ep1 step 117/840 loss=0.0062 margin=50.734
[dpo] ep1 step 118/840 loss=0.0000 margin=124.154
[dpo] ep1 step 119/840 loss=0.0000 margin=132.580
[dpo] ep1 step 120/840 loss=0.0284 margin=35.455
[dpo] ep1 step 121/840 loss=0.0181 margin=40.036
[dpo] ep1 step 122/840 loss=0.0028 margin=58.816
[dpo] ep1 step 123/840 loss=0.0100 margin=45.975
[dpo] ep1 step 124/840 loss=0.1042 margin=22.086
[dpo] ep1 step 125/840 loss=0.0004 margin=77.318
[dpo] ep1 step 126/840 loss=0.0308 margin=34.656
[dpo] ep1 step 127/840 loss=0.0514 margin=29.429
[dpo] ep1 step 128/840 loss=0.0008 margin=70.885
[dpo] ep1 step 129/840 loss=0.0796 margin=24.902
[dpo] ep1 step 130/840 loss=0.0003 margin=81.099
[dpo] ep1 step 131/840 loss=0.0876 margin=23.908
[dpo] ep1 step 132/840 loss=0.0000 margin=121.675
[dpo] ep1 step 133/840 loss=0.0040 margin=55.276
[dpo] ep1 step 134/840 loss=0.0652 margin=26.971
[dpo] ep1 step 135/840 loss=0.0020 margin=62.143
[dpo] ep1 step 136/840 loss=0.2963 margin=10.647
[dpo] ep1 step 137/840 loss=0.0223 margin=37.912
[dpo] ep1 step 138/840 loss=0.0017 margin=63.911
[dpo] ep1 step 139/840 loss=0.0385 margin=32.385
[dpo] ep1 step 140/840 loss=0.0004 margin=77.591
[dpo] ep1 step 141/840 loss=0.0000 margin=114.228
[dpo] ep1 step 142/840 loss=0.0000 margin=132.730
[dpo] ep1 step 143/840 loss=0.0000 margin=115.039
[dpo] ep1 step 144/840 loss=0.0027 margin=59.261
[dpo] ep1 step 145/840 loss=0.0000 margin=134.873
[dpo] ep1 step 146/840 loss=0.0031 margin=57.757
[dpo] ep1 step 147/840 loss=0.0084 margin=47.790
[dpo] ep1 step 148/840 loss=0.0012 margin=67.197
[dpo] ep1 step 149/840 loss=0.0000 margin=107.536
[dpo] ep1 step 150/840 loss=0.0020 margin=62.163
[dpo] ep1 step 151/840 loss=0.2472 margin=12.713
[dpo] ep1 step 152/840 loss=0.0014 margin=65.416
[dpo] ep1 step 153/840 loss=0.0000 margin=116.326
[dpo] ep1 step 154/840 loss=0.0110 margin=45.061
[dpo] ep1 step 155/840 loss=0.0020 margin=62.167
[dpo] ep1 step 156/840 loss=0.0000 margin=123.357
[dpo] ep1 step 157/840 loss=0.0001 margin=88.068
[dpo] ep1 step 158/840 loss=0.0000 margin=126.984
[dpo] ep1 step 159/840 loss=0.0017 margin=63.904
[dpo] ep1 step 160/840 loss=0.0040 margin=55.225
[dpo] ep1 step 161/840 loss=0.0008 margin=71.295
[dpo] ep1 step 162/840 loss=0.0035 margin=56.416
[dpo] ep1 step 163/840 loss=0.0731 margin=25.787
[dpo] ep1 step 164/840 loss=0.0012 margin=67.016
